age,workclass,education_num,marital_status,occupation,relationship,race,sex,hours_per_week,native_country,income
39,Private,9,Married-civ-spouse,Other-service,Wife,White,Female,40,Puerto-Rico,1
32,Local-gov,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,United-States,1
44,Private,9,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,40,United-States,1
22,Private,9,Never-married,Adm-clerical,Not-in-family,White,Female,40,United-States,0
36,Private,9,Divorced,Sales,Not-in-family,White,Male,50,United-States,0
26,Private,6,Divorced,Other-service,Unmarried,White,Female,40,Germany,0
55,Private,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,1
19,Private,10,Never-married,Adm-clerical,Own-child,White,Female,24,United-States,0
35,Private,10,Never-married,Sales,Not-in-family,White,Male,65,United-States,0
68,Self-emp-inc,13,Married-civ-spouse,Sales,Husband,White,Male,40,United-States,1
39,Private,13,Divorced,Prof-specialty,Not-in-family,White,Male,40,United-States,1
47,Private,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,42,United-States,1
32,Private,13,Never-married,Prof-specialty,Not-in-family,White,Male,40,United-States,0
20,Private,10,Never-married,Other-service,Not-in-family,White,Female,30,United-States,0
32,Private,9,Divorced,Exec-managerial,Not-in-family,White,Male,60,United-States,0
29,Private,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,United-States,1
47,Self-emp-inc,10,Married-civ-spouse,Sales,Husband,White,Male,45,United-States,1
24,Private,13,Never-married,Other-service,Not-in-family,White,Female,40,United-States,0
58,Private,9,Widowed,Priv-house-serv,Not-in-family,White,Female,28,United-States,0
35,Private,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,United-States,1
21,Private,9,Never-married,Machine-op-inspct,Own-child,White,Male,40,United-States,0
18,Private,7,Never-married,Other-service,Own-child,White,Female,25,United-States,0
46,Local-gov,9,Married-civ-spouse,Protective-serv,Husband,White,Male,56,United-States,1
20,Private,9,Never-married,Handlers-cleaners,Own-child,White,Male,25,United-States,0
46,Private,10,Married-civ-spouse,Protective-serv,Husband,White,Male,40,United-States,1
41,Private,13,Never-married,Adm-clerical,Own-child,Asian-Pac-Islander,Female,40,Philippines,0
48,Private,13,Separated,Sales,Not-in-family,White,Male,65,United-States,1
26,Private,9,Never-married,Farming-fishing,Not-in-family,White,Male,40,United-States,0
27,Private,10,Never-married,Adm-clerical,Not-in-family,White,Male,40,United-States,0
53,Private,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,1
53,Private,11,Divorced,Craft-repair,Not-in-family,White,Male,40,Cuba,1
58,Private,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,1
37,Private,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,1
48,Private,10,Married-civ-spouse,Sales,Wife,White,Female,40,United-States,0
65,Private,14,Married-civ-spouse,Adm-clerical,Other-relative,White,Female,40,United-States,1
29,Private,10,Never-married,Sales,Not-in-family,White,Male,40,United-States,0
19,Private,9,Married-civ-spouse,Sales,Husband,White,Male,40,United-States,0
49,Private,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,55,United-States,1
67,Self-emp-inc,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,45,United-States,0
22,Private,12,Never-married,Other-service,Own-child,White,Female,40,United-States,0
42,Private,9,Married-civ-spouse,Craft-repair,Husband,White,Male,85,United-States,0
56,Private,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,48,Germany,1
52,Private,16,Married-civ-spouse,Prof-specialty,Wife,White,Female,35,United-States,1
55,Private,6,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,0
39,Self-emp-not-inc,12,Married-civ-spouse,Craft-repair,Husband,White,Male,35,United-States,1
20,Private,10,Never-married,Tech-support,Not-in-family,White,Female,32,United-States,0
37,Private,13,Married-civ-spouse,Sales,Husband,White,Male,40,United-States,1
32,Private,9,Married-civ-spouse,Sales,Husband,White,Male,40,United-States,1
18,Private,7,Never-married,Other-service,Own-child,White,Male,15,United-States,0
39,Private,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,1
46,Private,9,Never-married,Machine-op-inspct,Not-in-family,Black,Female,15,United-States,0
55,Private,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,45,United-States,1
33,Self-emp-not-inc,10,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,1
48,Private,10,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,1
35,Private,4,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,0
43,Self-emp-inc,10,Married-civ-spouse,Sales,Husband,White,Male,44,United-States,1
